Actual_Close,LSTM_Predicted
56662.375,58915.086
58303.5390625,56968.938
55849.109375,56957.285
56705.09765625,56502.56
58009.2265625,56575.76
57742.49609375,57420.13
57344.9140625,58021.293
57899.46484375,58066.8
59231.953125,58131.902
60787.79296875,58767.24
64870.15234375,60017.973
65097.1484375,62848.434
64118.79296875,64966.844
63974.06640625,65271.74
66710.15625,64653.98
67163.6484375,65336.12
68154.5234375,66332.97
67585.25,67459.71
65927.671875,67780.24
65372.1328125,66824.21
65777.2265625,65657.88
67912.0625,65246.895
67813.3359375,66427.25
68255.8671875,67551.62
66819.9140625,68347.43
66201.015625,67879.55
64619.25,66892.78
65357.5,65421.598
61415.06640625,64925.953
60680.09375,63057.312
58116.9765625,61366.363
53991.45703125,59357.953
56034.31640625,56316.906
55027.4609375,55395.008
61710.13671875,55156.31
60880.11328125,58425.66
60945.8125,61028.066
58719.484375,62194.42
59354.515625,61119.293
60609.56640625,59990.793
58737.26953125,59901.258
57560.09765625,59286.953
58894.10546875,58245.42
59478.97265625,58198.01
58483.96484375,58805.24
59493.453125,58909.65
59012.79296875,59291.7
61175.19140625,59353.254
60381.9140625,60307.86
64094.35546875,60722.168
64178.9921875,62548.984
64333.54296875,64002.484
62880.66015625,64675.86
59504.1328125,63985.36
59027.625,61485.727
59388.1796875,59393.11
59119.4765625,58656.406
58969.8984375,58666.78
57325.48828125,58931.938
59112.48046875,58428.027
57431.0234375,58772.59
57971.5390625,58438.39
56160.48828125,58290.535
53948.75390625,57404.867
54139.6875,55654.42
54841.56640625,54512.086
57019.53515625,54416.74
57648.7109375,55739.906
57343.171875,57267.3
58127.01171875,58028.242
60571.30078125,58502.332
60005.12109375,59754.17
59182.8359375,60371.082
58192.5078125,60051.62
60308.5390625,59057.01
61649.6796875,59294.785
62940.45703125,60487.258
63192.9765625,62098.145
63394.83984375,63218.82
63648.7109375,63713.332
63329.80078125,63846.4
64301.96875,63608.703
63143.14453125,63837.355
65181.01953125,63543.176
65790.6640625,64252.953
65887.6484375,65271.62
65635.3046875,65956.9
63329.5,66057.51
60837.0078125,64737.977
60632.78515625,62370.703
60759.40234375,60758.793
62067.4765625,60289.344
62089.94921875,61126.633
62818.953125,62065.133
62236.66015625,62965.055
62131.96875,63105.39
60582.1015625,62827.203
60274.5,61739.008
62445.08984375,60736.676
63193.0234375,61292.234
62851.375,62480.254
66046.125,63157.81
67041.109375,64901.805
67612.71875,66614.26
67399.8359375,67709.93
68418.7890625,67870.03
68362.734375,68092.96
69001.703125,68156.086
67367.8515625,68455.38
67361.40625,67847.72
66432.1953125,67272.016
68161.0546875,66555.59
66642.4140625,67085.87
67014.6953125,67024.27
67929.296875,67025.44
69907.7578125,67525.15
72720.4921875,68958.516
72339.5390625,71428.08
70215.1875,72734.87
69482.46875,71775.21
69289.2734375,70114.27
68741.1171875,68967.17
67811.5078125,68329.945
69359.5625,67769.29
74584.00180053711,68384.54
74584.00180053711,71843.96
74584.00180053711,74481.63
74584.00180053711,75394.15
74584.00180053711,75121.64
74584.00180053711,74501.125
74584.00180053711,74053.125
74584.00180053711,73906.65
74584.00180053711,73970.77
74584.00180053711,74109.3
74584.00180053711,74230.55
74584.00180053711,74302.45
74584.00180053711,74331.44
74584.00180053711,74336.57
74584.00180053711,74333.76
74584.00180053711,74330.87
74584.00180053711,74329.49
74584.00180053711,74328.41
74584.00180053711,74326.09
74584.00180053711,74321.91
74584.00180053711,74315.95
74584.00180053711,74308.8
74584.00180053711,74301.09
74584.00180053711,74293.33
74584.00180053711,74285.82
74584.00180053711,74278.766
74584.00180053711,74272.26
74584.00180053711,74266.375
74584.00180053711,74261.12
74584.00180053711,74256.55
74584.00180053711,74252.61
74584.00180053711,74249.31
74584.00180053711,74246.59
74584.00180053711,74244.41
74584.00180053711,74242.68
74584.00180053711,74241.35
74584.00180053711,74240.375
74584.00180053711,74239.695
74584.00180053711,74239.23
74584.00180053711,74238.96
74584.00180053711,74238.85
74584.00180053711,74238.82
74584.00180053711,74238.91
74584.00180053711,74239.05
74584.00180053711,74239.23
74584.00180053711,74239.414
74584.00180053711,74239.61
74584.00180053711,74239.81
74584.00180053711,74239.99
74584.00180053711,74240.18
74584.00180053711,74240.336
74584.00180053711,74240.48
74584.00180053711,74240.59
74584.00180053711,74240.68
74584.00180053711,74240.77
74584.00180053711,74240.836
