ds,yhat,yhat_lower,yhat_upper
2025-05-05,89714.51844573917,83304.02462396822,96112.26356855304
2025-05-06,89646.83551618429,82924.51990857253,95881.55765263083
2025-05-07,89669.88018474553,82529.86297685905,96203.44206479516
2025-05-08,89594.07886435949,82635.83218241621,96062.56031558139
2025-05-09,89568.89655215992,83048.24361201882,96361.75173267272
2025-05-10,89539.72384441736,82674.49051980887,96386.98647876263
2025-05-11,89501.19073877613,82573.23444943813,96366.16851851653
2025-05-12,89513.5647872724,82189.943553638,96418.32686467787
2025-05-13,89426.84081664555,82149.51135412298,95884.25701311283
2025-05-14,89437.18106089179,82213.58107321669,96171.91982394087
2025-05-15,89355.48238149085,82916.91400908271,96385.11456307785
2025-05-16,89331.4938211598,82354.69052729307,97055.49739458233
2025-05-17,89310.69392993355,82029.14371527302,95512.32963296333
2025-05-18,89287.600573703,82127.87996943042,95847.72046924116
2025-05-19,89322.17088863498,81922.6223757758,95670.42106129287
2025-05-20,89263.89853122408,81851.09075213638,96131.215397467
2025-05-21,89308.26683842574,82395.04500961018,95788.75802201881
2025-05-22,89265.33418670497,81377.02585586015,96250.0961049211
2025-05-23,89283.8742651873,81924.65648881567,96284.82990364348
2025-05-24,89308.28004311759,82311.83053830042,96581.01656785034
2025-05-25,89331.90337480797,82316.78320164514,96282.14670313381
2025-05-26,89413.48705287014,82041.52783869425,96608.66128626527
2025-05-27,89401.2955459877,81819.50412796403,96297.81912301575
2025-05-28,89489.6020878081,82801.37813529176,96908.04292358246
2025-05-29,89487.30745071716,82248.48650550583,96831.5696597412
2025-05-30,89542.11218465606,81869.69954406233,96732.23588828868
2025-05-31,89597.4502125974,81959.77171165157,96521.06311178196
2025-06-01,89645.85490861551,82866.10177659283,97012.20578698073
2025-06-02,89745.41374605853,82670.32529648786,97199.8946324195
2025-06-03,89743.91714253962,82519.36533598992,97293.256800492
2025-06-04,89835.3586888603,82363.41594767192,96956.81175568019
2025-06-05,89828.56175874858,81956.83446116307,96733.73890264741
2025-06-06,89871.3540935767,82129.96785185511,97188.1563733167
2025-06-07,89907.49822249105,82400.94132984974,96853.76811671004
2025-06-08,89930.04896700617,82603.29630905284,96809.71906488805
2025-06-09,89997.79439003945,82391.19537917983,97412.4456356565
2025-06-10,89959.38622881784,82307.39682521462,98173.33923143464
2025-06-11,90009.81753864228,82413.44905614849,97743.5105096127
2025-06-12,89959.02319491871,81878.74613983477,97480.70605880456
2025-06-13,89956.02558923337,82032.10152124288,97613.46990060559
2025-06-14,89945.83419070161,82179.01057270145,98124.91111154146
2025-06-15,89922.77107797227,82216.3842311582,97640.95509713855
2025-06-16,89946.87967900555,81700.48676692368,97459.62757663065
2025-06-17,89868.02363103729,81986.69785936958,97702.4583751319
2025-06-18,89882.33433193807,81884.20458031615,97914.67270196631
2025-06-19,89800.78362234528,82411.64789427223,97374.90119738567
2025-06-20,89773.30465242875,81185.5445167185,97837.33109178336
2025-06-21,89745.67022937066,81712.2224436779,98075.21498833304
2025-06-22,89712.80126623278,81633.57587304423,96862.9612293097
2025-06-23,89735.16296202576,81740.79967037243,97583.63671312477
2025-06-24,89662.85588620958,81395.1463795448,97289.58181213307
2025-06-25,89692.06066236476,81173.40311031239,97814.18883338918
2025-06-26,89633.6126753226,81914.4816929978,97601.63159897017
2025-06-27,89637.12970453809,81597.41488027618,97197.83984481661
2025-06-28,89647.90149932337,81452.63926459466,97907.86335816645
2025-06-29,89660.21351689001,81492.5581739093,97560.03826154135
2025-06-30,89733.7619476111,81726.26486860862,97621.40077772675
2025-07-01,89717.76660592177,81321.37212359499,98245.9701709703
2025-07-02,89807.43971613132,81460.73685069922,98277.21416281436
2025-07-03,89812.58630174694,81547.78077052561,97459.78205357831
2025-07-04,89881.7583367652,81462.20822081961,98157.63236529916
2025-07-05,89959.17092365664,81399.7928158197,98708.4433097422
2025-07-06,90038.05198341544,81648.56702329236,98547.68771112178
2025-07-07,90177.08188289785,81213.6543920753,98612.28769360356
2025-07-08,90224.52893468663,81365.54344838433,98358.37952902699
2025-07-09,90374.73822922747,81622.77334049571,99007.36985202553
2025-07-10,90436.74902708469,81742.80554495494,99735.99364442613
2025-07-11,90558.46249005594,81323.78113131862,99186.89324943289
2025-07-12,90683.56774615875,81792.64319804248,99015.59415449161
2025-07-13,90804.89761976337,82457.25461628893,99721.74179155749
2025-07-14,90980.87041555089,81663.02860870342,99010.14862634418
2025-07-15,91059.62377102314,82135.06003948036,99394.87171034195
2025-07-16,91235.4982277614,82145.59876071359,100488.03508893598
2025-07-17,91317.6460424073,82590.13839408943,100140.07619814893
2025-07-18,91454.18740066452,82046.04779387501,100582.52661965902
2025-07-19,91589.12249148429,82765.39057628288,101061.21418086099
2025-07-20,91715.67129652116,82434.10174176072,100673.05399586869
2025-07-21,91892.69805151041,82832.88012945002,100846.46153500493
2025-07-22,91968.82698782548,82097.09618751142,101267.13277124736
2025-07-23,92138.90760457712,83242.44545017616,101294.4586262556
2025-07-24,92212.60558012106,82758.92007712487,101623.48036595497
2025-07-25,92338.5420438106,82978.3775909888,101223.02347640331
2025-07-26,92461.19017549507,83292.31122825353,101414.16721131181
2025-07-27,92574.20143593501,82925.03354098117,101088.36979321371
2025-07-28,92736.81875778385,83633.526334275,101921.43723502225
2025-07-29,92797.98359308744,83029.22634046274,102237.3736622319
2025-07-30,92952.79526266677,83171.78949432899,101845.51373263256
2025-07-31,93011.09881431659,83313.20616369367,102362.35557188126
2025-08-01,93121.62411060938,83388.15060843898,102378.82108505552
2025-08-02,93228.88501772856,82679.18427750877,102399.59757520496
2025-08-03,93326.51081140993,83021.94089394527,102541.9862361831
2025-08-04,93473.66685950564,83262.86682527314,103117.05027788915
2025-08-05,93519.17113440322,83437.96494499764,103057.24010834208
2025-08-06,93657.96459803329,83816.38761291205,103604.82405095127
2025-08-07,93699.71121831838,83354.25661594045,103666.71960870962
2025-08-08,93792.9498600237,83613.59617014835,103232.02042400102
2025-08-09,93882.006430338,83700.0809533219,103885.19182368887
2025-08-10,93960.33790763734,83296.89759147548,103170.20801749638
2025-08-11,94086.96484513128,83542.8032821621,104313.21643019553
2025-08-12,94110.59847021263,83922.04484157871,104391.4264604697
2025-08-13,94226.12003940917,83623.08348254349,103441.1969613411
2025-08-14,94243.1878869728,83705.74290187165,103817.11439843055
2025-08-15,94310.39416149547,83114.56754232949,104999.92483661685
2025-08-16,94372.17946232321,83763.7329755262,104748.94224610752
2025-08-17,94422.17692069002,82601.56580730353,105650.30984321752
2025-08-18,94519.6423209341,84529.9390879216,104712.60672912156
2025-08-19,94513.576472697,83864.87722100179,104503.29565801108
2025-08-20,94599.19766686668,84002.18319769205,105372.87114290881
2025-08-21,94586.53990252475,84039.8432554701,105047.97603426754
2025-08-22,94624.59919599252,83921.69118905418,105134.69116242461
2025-08-23,94658.23655675609,83635.42337141665,105157.39501711144
2025-08-24,94681.50959153773,83396.7764424484,105717.23421144174
2025-08-25,94754.08977716634,83275.57002619188,105165.25178526943
2025-08-26,94725.37207200321,84064.30057780068,105659.44668844642
2025-08-27,94790.9351553795,83731.40176639616,105880.27987586925
2025-08-28,94761.12842111858,83184.57794742551,105254.23354573578
2025-08-29,94785.20844209702,83789.78910375142,105075.22052787125
2025-08-30,94808.23384954044,83958.08196817123,105430.89325067063
2025-08-31,94824.39088787216,83724.66311052525,105400.0986366689
2025-09-01,94893.40691546776,83868.03762537734,105558.8622563522
2025-09-02,94864.65867280672,82679.86232342932,105545.04899732477
2025-09-03,94933.63367564573,83787.38337721811,105608.84421570812
2025-09-04,94910.52084113043,82922.8458241701,105256.6779158933
2025-09-05,94944.35295937213,82714.93726125629,106128.23809583367
2025-09-06,94979.9097664717,83405.51771127658,106147.1043932819
2025-09-07,95011.05361454,82829.65512761378,106457.9244639533
2025-09-08,95097.15467462808,83028.0831152376,106221.36314598593
2025-09-09,95087.2121011649,84155.81995149727,106498.91667109694
2025-09-10,95176.32907691774,82404.59177915502,107170.49369264912
2025-09-11,95174.31737641618,82892.57152810342,106734.96983351147
2025-09-12,95229.85357452734,83031.07835554947,106442.58553280475
2025-09-13,95287.39517062696,82951.58474604403,107182.38041424831
2025-09-14,95340.52815495516,82842.075772509,106553.73881429354
2025-09-15,95448.40251660647,82824.95043788236,106867.32796809825
2025-09-16,95459.86173274946,82969.58805247981,107103.79675788764
2025-09-17,95569.92383015458,84023.37539313805,107601.32260862167
2025-09-18,95588.38940181237,82283.39965557799,107535.65665569244
2025-09-19,95663.99853244063,83478.39305836412,107848.891936603
2025-09-20,95741.34481958752,83385.76510425238,107750.61015823168
2025-09-21,95814.21802646584,83131.75473000424,108099.32531422186
2025-09-22,95942.03196984805,82918.77446525019,107358.81372010059
2025-09-23,95973.94387896243,82425.33464912539,107464.80183271297
2025-09-24,96105.32310029211,83856.23747294,108710.15847294578
2025-09-25,96146.34489456732,83153.12026484605,108278.30616890795
2025-09-26,96246.13171245363,83081.7371765016,109007.8586493704
2025-09-27,96349.65062471807,83355.96684942851,108726.3311498091
2025-09-28,96451.03897361098,83386.07508933364,108095.15435746085
2025-09-29,96610.01540464614,82726.9024488993,109801.86491526329
2025-09-30,96675.98307840346,83586.26424671266,109361.7517535488
2025-10-01,96844.48349095801,82650.33839285708,110150.45890830892
2025-10-02,96925.77717516207,83139.31608824663,109643.77503243688
2025-10-03,97068.97415028333,82720.94021249174,110280.28092824842
2025-10-04,97218.9232158826,83094.94388419665,109509.19522837368
2025-10-05,97369.5325015701,83458.89288899269,111166.11536225637
2025-10-06,97580.1786893776,83362.16228552484,110182.00960695828
2025-10-07,97699.81186900502,83555.35908204773,111136.89809548437
2025-10-08,97923.41451154818,84028.05722225837,111052.26198438538
2025-10-09,98060.59078372459,84087.33605923012,110686.22395430518
2025-10-10,98259.70891239405,84430.67123723749,111324.99841769188
2025-10-11,98464.80543303656,83515.58459351331,111519.95121975742
2025-10-12,98668.92337340981,83806.76836830648,112358.84796251729
2025-10-13,98930.54133985678,84881.23059105985,112160.05973547488
2025-10-14,99097.69994068978,85326.19886535646,112505.25168621041
2025-10-15,99364.48344456876,84298.88104988814,113084.16093708201
2025-10-16,99539.63226322766,84602.10243242655,113952.91617168796
2025-10-17,99770.70830911296,84879.4883741046,113312.1522930154
2025-10-18,100001.02139528,84541.47385873496,114401.85824367579
2025-10-19,100222.988075329,84983.38965402608,114149.00395990384
2025-10-20,100494.5792700749,85545.40028030008,114737.33219612317
2025-10-21,100663.46254633491,85369.38040013597,114452.05419334739
2025-10-22,100923.49644617228,85439.50644047235,114696.48798673431
2025-10-23,101083.35204167993,85818.13186459607,115601.23716475176
2025-10-24,101290.68345034703,87001.90917774863,116390.10289744251
2025-10-25,101489.05527224555,86870.34474548062,115326.82846547244
2025-10-26,101671.29825756796,85491.08972834959,115671.86495914284
2025-10-27,101895.94958286261,86923.84950192452,117291.15946851739
2025-10-28,102011.38375433965,86424.08844234615,117684.00620172963
2025-10-29,102212.29180777023,86900.66503618099,116415.22751175585
2025-10-30,102308.28436260422,86843.96340895708,116808.23358108028
2025-10-31,102448.04074916463,85937.26814934655,116856.5392242199
2025-11-01,102576.21274187884,87311.93922410265,116296.75335875097
2025-11-02,102686.75485067068,87911.79438102046,117371.48626090096
2025-11-03,102839.33824595307,87756.93059618506,118834.3104913313
2025-11-04,102883.45506604968,86348.67266936066,118069.38749285809
2025-11-05,103014.87151904416,88285.2676081016,118754.5191253557
2025-11-06,103044.2060693214,86842.23289767055,118408.32273931554
2025-11-07,103121.05562866897,86702.87627031017,118771.936275743
2025-11-08,103190.87893327154,87082.80321937993,119163.48356705575
2025-11-09,103248.30963481673,86538.84944053441,118670.9835863098
2025-11-10,103353.55666735736,86886.47853667852,119116.18829205519
2025-11-11,103356.49901997374,86985.22676622224,119687.14184505807
2025-11-12,103453.13359140404,86034.76407166306,119832.75750157055
2025-11-13,103454.15255538635,86999.16739924788,119385.33679255292
2025-11-14,103509.07316439447,86522.07526779636,119187.32897209564
2025-11-15,103563.12904920448,87266.66533069154,118376.11513738528
2025-11-16,103610.5952897559,87620.80474593873,119425.03844417207
2025-11-17,103711.20444412039,85902.40759203851,120031.19045685133
2025-11-18,103714.26017921585,85755.91666695439,120989.8909562814
2025-11-19,103815.10659538528,86967.26594017737,119794.63124423083
2025-11-20,103823.72900889078,87640.3765113351,119914.41010172802
2025-11-21,103888.90839424009,85899.79848027937,121343.64296766471
2025-11-22,103955.13777851296,86483.5033603419,120822.97090113322
2025-11-23,104015.972081327,86669.14748142769,121060.68944756233
2025-11-24,104130.46781253966,87186.90175369497,120383.67034666636
2025-11-25,104147.31852732004,86371.23425819486,121677.42250495167
2025-11-26,104261.34344038225,87269.16819226084,121320.74419872362
2025-11-27,104282.10434826177,86779.84215262497,121612.90572119947
2025-11-28,104358.07254098736,85822.60851015453,121621.73989062935
2025-11-29,104433.55358611174,86443.49036224179,122388.55740161016
2025-11-30,104502.0411944431,86518.06871996299,121128.470207508
2025-12-01,104622.6564300931,87081.76636756172,123563.20339182262
2025-12-02,104644.27815572935,86362.06399496332,122857.93398419728
2025-12-03,104762.02224853117,86977.39259552729,121881.7585169355
2025-12-04,104785.84500932893,87934.90313648539,122499.4073347578
2025-12-05,104864.69285292216,88046.38683976769,122300.83264236368
2025-12-06,104943.40669129806,87400.2480160449,122829.28620628541
2025-12-07,105016.0528552099,87554.76329350876,123177.35896840405
2025-12-08,105142.33754200896,87249.48298754203,123489.36515801137
2025-12-09,105171.71147399944,86402.18084499377,123217.08658683966
2025-12-10,105299.82314085511,86162.89174443422,123547.13818717524
2025-12-11,105337.09690624903,86910.64752804105,122811.0834461466
2025-12-12,105432.85891801606,86456.66308384913,124156.0291560606
2025-12-13,105532.22005242867,86698.93107133407,123333.06918377061
2025-12-14,105629.38849894762,86755.55435821354,124063.02887780593
2025-12-15,105784.06965218307,86507.4896306873,125387.18292082608
2025-12-16,105845.56057012625,87205.6937174107,125255.41485246069
2025-12-17,106009.19782376835,86644.94523635964,124039.6856980262
2025-12-18,106084.935330834,86560.73282816105,124171.42639916691
2025-12-19,106221.47527467067,86366.24857380053,125146.09793826
2025-12-20,106363.16134218307,87759.76305890444,124700.31622004368
2025-12-21,106503.30672913924,87003.60902111535,125304.44988849522
2025-12-22,106700.61426195191,86838.8099485356,126178.18164003988
2025-12-23,106803.29542432171,87324.26980707065,125385.71691534309
2025-12-24,107005.5465012645,86595.62917475957,126156.72326231889
2025-12-25,107116.15769422801,86606.02696376195,126347.83608133586
2025-12-26,107282.67746232828,87827.74104512292,126224.5190384091
2025-12-27,107448.3403934719,87146.3703307216,127169.32386045743
2025-12-28,107605.43006511251,88342.23171216328,127607.05811118407
2025-12-29,107811.73322454607,87938.56325582646,128355.91019224528
2025-12-30,107914.69105636068,88805.5886721782,126907.33388907758
2025-12-31,108107.90475686395,88551.54182146581,128453.43774320933
